Year,Type,Interstate Miles,Intrastate Miles,Total Miles,Miles of Gathering,Breakout Tanks
2010,Onshore and Offshore,"37,938.80","16,691.70","54,630.50","2,513.60","1,812"
2011,Onshore and Offshore,"38,401.50","17,698.60","56,100.20","2,908.40","1,904"
2012,Onshore and Offshore,"39,482.00","17,980.80","57,462.80","3,086.70","2,129"
2013,Onshore and Offshore,"42,408.50","18,678.20","61,086.70","3,666.70","2,325"
2014,Onshore and Offshore,"46,999.60","19,813.60","66,813.30","3,745.20","2,421"
2015,Onshore and Offshore,"50,278.60","22,803.40","73,082.00","3,823.00","2,650"
2010,Onshore,"35,055.50","16,686.90","51,742.50","2,416.50","1,812"
2011,Onshore,"35,492.20","17,693.20","53,185.50","2,820.30","1,904"
2012,Onshore,"36,501.10","17,975.40","54,476.50","2,966.30","2,129"
2013,Onshore,"38,938.70","18,672.80","57,611.40","3,544.90","2,325"
2014,Onshore,"43,656.40","19,808.20","63,464.60","3,342.40","2,421"
2015,Onshore,"46,638.00","22,798.00","69,435.90","3,359.20","2,650"
2010,Offshore,,,"2,888.00",,
2011,Offshore,,,"2,914.70",,
2012,Offshore,,,"2,986.30",,
2013,Offshore,,,"3,475.30",,
2014,Offshore,,,"3,348.70",,
2015,Offshore,,,"3,646.10",,